from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total
2018-01-01,2018-01-31,А,30102,А,200079650.12000000,0E-8,200079650.12000000,625440427.12000000,0E-8,625440427.12000000,787848410.29999900,0E-8,787848410.29999900,37671666.94000000,0E-8,37671666.94000000
2018-01-01,2018-01-31,А,30220,П,0E-8,1429793492.99000000,1429793492.99000000,0E-8,251131748.61893800,251131748.61893800,0E-8,162558943.257008,162558540.25700800,0E-8,1341220284.63000000,1341220284.63000000
2018-01-01,2018-01-31,А,30111,П,125006707.42000000,0E-8,125006707.42000000,262884223.89000000,0E-8,262884223.89000000,172294943.56000000,0E-8,172294943.56000000,34417427.09000000,0E-8,34417427.09000000
2018-01-01,2018-01-31,А,30204,А,5541.83000000,0E-8,5541.83000000,149647.04000000,0E-8,149647.04000000,,0E-8,,155188.87000000,0E-8,155188.87000000
2018-01-01,2018-01-31,А,30233,А,58966.57000000,5801448.04000000,5860414.61000000,,,,,,,58966.57000000,5801448.04000000,5860414.61000000
2018-01-01,2018-01-31,А,30114,А,0E-8,1460552792.87000000,1460552792.87000000,0E-8,1464972651.18680000,1464972651.18680000,0E-8,2199251369.68591000,2199251369.68591000,0E-8,726274074.41000000,726274074.41000000
2018-01-01,2018-01-31,А,30424,А,7855306.53000000,0E-8,7855306.53000000,4414156.66000000,0E-8,4414156.66000000,9299232.48000000,0E-8,9299232.48000000,2970230.71000000,0E-8,2970230.71000000
2018-01-01,2018-01-31,А,30425,А,87620.47000000,2207131.95000000,2294752.42000000,,,,,,,87620.47000000,2207131.95000000,2294752.42000000
2018-01-01,2018-01-31,А,30221,А,69885.07000000,21447412.80000000,21517297.87000000,,,MODIFIED_215427,,,,69885.07000000,21447412.80000000,21517297.87000000
2018-01-01,2018-01-31,А,30236,П,39070.65000000,7152603.19000000,7191673.84000000,0E-8,134845152.11511300,134845152.11511300,0E-8,249074167.07623700,249074167.07623700,39070.65000000,121381618.18000000,121420688.83000000
2018-01-01,2018-01-31,А,30202,А,129554.00000000,0E-8,129554.00000000,,0E-8,,93819.58000000,0E-8,93819.58000000,35734.42000000,0E-8,35734.42000000
2018-01-01,2018-01-31,А,30222,П,215769.47000000,43368305.33000000,43584074.80000000,0E-8,5595511.51749600,5595511.51749600,0E-8,,,215769.47000000,37772793.81000000,37988563.28000000
2018-01-01,2018-01-31,А,30232,П,86904.66000000,4517213.07000000,4604117.73000000,,,,,,,86904.66000000,4517213.07000000,4604117.73000000
2018-01-01,2018-01-31,А,30110,А,1347893.83000000,15170860.88000000,16518754.71000000,373332.34000000,0E-8,373332.34000000,1083668.65000000,0E-8,1083668.65000000,637557.52000000,15170860.88000000,15808418.40000000
2018-01-01,2018-01-31,А,30109,П,63891.96000000,0E-8,63891.96000000,,,,,,,63891.96000000,0E-8,63891.96000000
2018-01-01,2018-01-31,А,30126,П,67224.06000000,0E-8,67224.06000000,,,,,,,67224.06000000,0E-8,67224.06000000
2018-01-01,2018-01-31,А,30413,А,185530.94000000,0E-8,185530.94000000,2098780.35000000,0E-8,2098780.35000000,2382487.14000000,0E-8,2382487.14000000,-98175.85000000,0E-8,-98175.85000000
2018-01-01,2018-01-31,А,30223,П,302098.75000000,0E-8,302098.75000000,6349676.77000000,0E-8,6349676.77000000,15781776.55000000,0E-8,15782630.55,9734198.53000000,0E-8,9734198.53000000
